/raid/home/automatants/peytevin_pau/Can-t-Stop/env/lib/python3.10/site-packages/gymnasium/envs/registration.py:487: UserWarning: [33mWARN: The environment creator metadata doesn't include `render_modes`, contains: ['render.modes'][0m
  logger.warn(
Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to logs/PPO-1755550275/ppo_cant_stop_0
---------------------------------
| rollout/           |          |
| train/                  |             |
|    approx_kl            | 0.023646366 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.519      |
|    explained_variance   | 0.274       |
|    learning_rate        | 0.0003      |
|    loss                 | 86.3        |
|    n_updates            | 7930        |
|    policy_gradient_loss | -0.022      |
|    value_loss           | 257         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.8        |
|    ep_rew_mean          | 58.5        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 306         |
|    time_elapsed         | 1336        |
|    total_timesteps      | 1628160     |
| train/                  |             |
|    approx_kl            | 0.026106477 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.513      |
|    explained_variance   | 0.328       |
|    learning_rate        | 0.0003      |
|    loss                 | 84          |
|    n_updates            | 7940        |
|    policy_gradient_loss | -0.0232     |
|    value_loss           | 295         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33          |
|    ep_rew_mean          | 59.3        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 307         |
|    time_elapsed         | 1341        |
|    total_timesteps      | 1630208     |
| train/                  |             |
|    approx_kl            | 0.023636969 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.501      |
|    explained_variance   | 0.267       |
|    learning_rate        | 0.0003      |
|    loss                 | 97          |
|    n_updates            | 7950        |
|    policy_gradient_loss | -0.0245     |
|    value_loss           | 269         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.1        |
|    ep_rew_mean          | 62.9        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 308         |
|    time_elapsed         | 1345        |
|    total_timesteps      | 1632256     |
| train/                  |             |
|    approx_kl            | 0.021047886 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.525      |
|    explained_variance   | 0.276       |
|    learning_rate        | 0.0003      |
|    loss                 | 114         |
|    n_updates            | 7960        |
|    policy_gradient_loss | -0.0208     |
|    value_loss           | 272         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 34.6       |
|    ep_rew_mean          | 64.5       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 309        |
|    time_elapsed         | 1349       |
|    total_timesteps      | 1634304    |
| train/                  |            |
|    approx_kl            | 0.01860633 |
|    clip_fraction        | 0.136      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.493     |
|    explained_variance   | 0.358      |
|    learning_rate        | 0.0003     |
|    loss                 | 195        |
|    n_updates            | 7970       |
|    policy_gradient_loss | -0.0231    |
|    value_loss           | 322        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.3        |
|    ep_rew_mean          | 64.3        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 310         |
|    time_elapsed         | 1354        |
|    total_timesteps      | 1636352     |
| train/                  |             |
|    approx_kl            | 0.020285256 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.509      |
|    explained_variance   | 0.298       |
|    learning_rate        | 0.0003      |
|    loss                 | 97          |
|    n_updates            | 7980        |
|    policy_gradient_loss | -0.0228     |
|    value_loss           | 240         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.6        |
|    ep_rew_mean          | 60          |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 311         |
|    time_elapsed         | 1358        |
|    total_timesteps      | 1638400     |
| train/                  |             |
|    approx_kl            | 0.023202416 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.517      |
|    explained_variance   | 0.304       |
|    learning_rate        | 0.0003      |
|    loss                 | 137         |
|    n_updates            | 7990        |
|    policy_gradient_loss | -0.0261     |
|    value_loss           | 322         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.7        |
|    ep_rew_mean          | 66.6        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 312         |
|    time_elapsed         | 1362        |
|    total_timesteps      | 1640448     |
| train/                  |             |
|    approx_kl            | 0.020350523 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.502      |
|    explained_variance   | 0.31        |
|    learning_rate        | 0.0003      |
|    loss                 | 77.4        |
|    n_updates            | 8000        |
|    policy_gradient_loss | -0.0248     |
|    value_loss           | 280         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 35         |
|    ep_rew_mean          | 75.8       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 313        |
|    time_elapsed         | 1367       |
|    total_timesteps      | 1642496    |
| train/                  |            |
|    approx_kl            | 0.02379724 |
|    clip_fraction        | 0.143      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.493     |
|    explained_variance   | 0.28       |
|    learning_rate        | 0.0003     |
|    loss                 | 67.4       |
|    n_updates            | 8010       |
|    policy_gradient_loss | -0.0237    |
|    value_loss           | 240        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 33.2       |
|    ep_rew_mean          | 62.4       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 314        |
|    time_elapsed         | 1371       |
|    total_timesteps      | 1644544    |
| train/                  |            |
|    approx_kl            | 0.02052389 |
|    clip_fraction        | 0.141      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.51      |
|    explained_variance   | 0.411      |
|    learning_rate        | 0.0003     |
|    loss                 | 105        |
|    n_updates            | 8020       |
|    policy_gradient_loss | -0.0228    |
|    value_loss           | 276        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33          |
|    ep_rew_mean          | 63.6        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 315         |
|    time_elapsed         | 1375        |
|    total_timesteps      | 1646592     |
| train/                  |             |
|    approx_kl            | 0.015726205 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.518      |
|    explained_variance   | 0.238       |
|    learning_rate        | 0.0003      |
|    loss                 | 95.2        |
|    n_updates            | 8030        |
|    policy_gradient_loss | -0.0233     |
|    value_loss           | 302         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.5        |
|    ep_rew_mean          | 62.1        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 316         |
|    time_elapsed         | 1380        |
|    total_timesteps      | 1648640     |
| train/                  |             |
|    approx_kl            | 0.021335354 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.506      |
|    explained_variance   | 0.261       |
|    learning_rate        | 0.0003      |
|    loss                 | 92.1        |
|    n_updates            | 8040        |
|    policy_gradient_loss | -0.02       |
|    value_loss           | 260         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 33.5       |
|    ep_rew_mean          | 67.2       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 317        |
|    time_elapsed         | 1384       |
|    total_timesteps      | 1650688    |
| train/                  |            |
|    approx_kl            | 0.02181102 |
|    clip_fraction        | 0.143      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.499     |
|    explained_variance   | 0.27       |
|    learning_rate        | 0.0003     |
|    loss                 | 67.4       |
|    n_updates            | 8050       |
|    policy_gradient_loss | -0.0236    |
|    value_loss           | 275        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.8        |
|    ep_rew_mean          | 69.3        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 318         |
|    time_elapsed         | 1388        |
|    total_timesteps      | 1652736     |
| train/                  |             |
|    approx_kl            | 0.019416204 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.501      |
|    explained_variance   | 0.433       |
|    learning_rate        | 0.0003      |
|    loss                 | 125         |
|    n_updates            | 8060        |
|    policy_gradient_loss | -0.0213     |
|    value_loss           | 300         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.4        |
|    ep_rew_mean          | 63.7        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 319         |
|    time_elapsed         | 1393        |
|    total_timesteps      | 1654784     |
| train/                  |             |
|    approx_kl            | 0.023614213 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.495      |
|    explained_variance   | 0.318       |
|    learning_rate        | 0.0003      |
|    loss                 | 150         |
|    n_updates            | 8070        |
|    policy_gradient_loss | -0.0228     |
|    value_loss           | 305         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.8        |
|    ep_rew_mean          | 65.2        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 320         |
|    time_elapsed         | 1397        |
|    total_timesteps      | 1656832     |
| train/                  |             |
|    approx_kl            | 0.020985482 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.495      |
|    explained_variance   | 0.304       |
|    learning_rate        | 0.0003      |
|    loss                 | 177         |
|    n_updates            | 8080        |
|    policy_gradient_loss | -0.0186     |
|    value_loss           | 364         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.6        |
|    ep_rew_mean          | 66.3        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 321         |
|    time_elapsed         | 1401        |
|    total_timesteps      | 1658880     |
| train/                  |             |
|    approx_kl            | 0.023706436 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.494      |
|    explained_variance   | 0.249       |
|    learning_rate        | 0.0003      |
|    loss                 | 170         |
|    n_updates            | 8090        |
|    policy_gradient_loss | -0.0246     |
|    value_loss           | 322         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 35.7       |
|    ep_rew_mean          | 66.8       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 322        |
|    time_elapsed         | 1406       |
|    total_timesteps      | 1660928    |
| train/                  |            |
|    approx_kl            | 0.02655308 |
|    clip_fraction        | 0.162      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.512     |
|    explained_variance   | 0.25       |
|    learning_rate        | 0.0003     |
|    loss                 | 127        |
|    n_updates            | 8100       |
|    policy_gradient_loss | -0.0243    |
|    value_loss           | 236        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.5        |
|    ep_rew_mean          | 70.1        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 323         |
|    time_elapsed         | 1410        |
|    total_timesteps      | 1662976     |
| train/                  |             |
|    approx_kl            | 0.018737482 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.492      |
|    explained_variance   | 0.277       |
|    learning_rate        | 0.0003      |
|    loss                 | 82.3        |
|    n_updates            | 8110        |
|    policy_gradient_loss | -0.0221     |
|    value_loss           | 293         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.2        |
|    ep_rew_mean          | 66          |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 324         |
|    time_elapsed         | 1414        |
|    total_timesteps      | 1665024     |
| train/                  |             |
|    approx_kl            | 0.020614937 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.521      |
|    explained_variance   | 0.268       |
|    learning_rate        | 0.0003      |
|    loss                 | 153         |
|    n_updates            | 8120        |
|    policy_gradient_loss | -0.0212     |
|    value_loss           | 360         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.2        |
|    ep_rew_mean          | 65.5        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 325         |
|    time_elapsed         | 1419        |
|    total_timesteps      | 1667072     |
| train/                  |             |
|    approx_kl            | 0.018697966 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.517      |
|    explained_variance   | 0.256       |
|    learning_rate        | 0.0003      |
|    loss                 | 165         |
|    n_updates            | 8130        |
|    policy_gradient_loss | -0.0238     |
|    value_loss           | 330         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 35         |
|    ep_rew_mean          | 66.2       |
| time/                   |            |
|    fps                  | 468        |
|    iterations           | 326        |
|    time_elapsed         | 1423       |
|    total_timesteps      | 1669120    |
| train/                  |            |
|    approx_kl            | 0.02285951 |
|    clip_fraction        | 0.153      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.508     |
|    explained_variance   | 0.232      |
|    learning_rate        | 0.0003     |
|    loss                 | 152        |
|    n_updates            | 8140       |
|    policy_gradient_loss | -0.0247    |
|    value_loss           | 278        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.1        |
|    ep_rew_mean          | 62.8        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 327         |
|    time_elapsed         | 1427        |
|    total_timesteps      | 1671168     |
| train/                  |             |
|    approx_kl            | 0.017316232 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.504      |
|    explained_variance   | 0.299       |
|    learning_rate        | 0.0003      |
|    loss                 | 122         |
|    n_updates            | 8150        |
|    policy_gradient_loss | -0.0196     |
|    value_loss           | 366         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 34.2       |
|    ep_rew_mean          | 65.8       |
| time/                   |            |
|    fps                  | 469        |
|    iterations           | 328        |
|    time_elapsed         | 1432       |
|    total_timesteps      | 1673216    |
| train/                  |            |
|    approx_kl            | 0.01990622 |
|    clip_fraction        | 0.154      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.531     |
|    explained_variance   | 0.25       |
|    learning_rate        | 0.0003     |
|    loss                 | 87.6       |
|    n_updates            | 8160       |
|    policy_gradient_loss | -0.0233    |
|    value_loss           | 267        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.5        |
|    ep_rew_mean          | 67.3        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 329         |
|    time_elapsed         | 1436        |
|    total_timesteps      | 1675264     |
| train/                  |             |
|    approx_kl            | 0.018829182 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.52       |
|    explained_variance   | 0.223       |
|    learning_rate        | 0.0003      |
|    loss                 | 127         |
|    n_updates            | 8170        |
|    policy_gradient_loss | -0.021      |
|    value_loss           | 275         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 33         |
|    ep_rew_mean          | 58.1       |
| time/                   |            |
|    fps                  | 469        |
|    iterations           | 330        |
|    time_elapsed         | 1440       |
|    total_timesteps      | 1677312    |
| train/                  |            |
|    approx_kl            | 0.02036415 |
|    clip_fraction        | 0.14       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.51      |
|    explained_variance   | 0.216      |
|    learning_rate        | 0.0003     |
|    loss                 | 114        |
|    n_updates            | 8180       |
|    policy_gradient_loss | -0.0238    |
|    value_loss           | 328        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.8        |
|    ep_rew_mean          | 61.1        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 331         |
|    time_elapsed         | 1445        |
|    total_timesteps      | 1679360     |
| train/                  |             |
|    approx_kl            | 0.021188695 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.536      |
|    explained_variance   | 0.226       |
|    learning_rate        | 0.0003      |
|    loss                 | 128         |
|    n_updates            | 8190        |
|    policy_gradient_loss | -0.0208     |
|    value_loss           | 315         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34          |
|    ep_rew_mean          | 63.7        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 332         |
|    time_elapsed         | 1449        |
|    total_timesteps      | 1681408     |
| train/                  |             |
|    approx_kl            | 0.025993377 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.515      |
|    explained_variance   | 0.228       |
|    learning_rate        | 0.0003      |
|    loss                 | 104         |
|    n_updates            | 8200        |
|    policy_gradient_loss | -0.0244     |
|    value_loss           | 251         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.9        |
|    ep_rew_mean          | 55.3        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 333         |
|    time_elapsed         | 1454        |
|    total_timesteps      | 1683456     |
| train/                  |             |
|    approx_kl            | 0.018005224 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.519      |
|    explained_variance   | 0.307       |
|    learning_rate        | 0.0003      |
|    loss                 | 69.8        |
|    n_updates            | 8210        |
|    policy_gradient_loss | -0.0225     |
|    value_loss           | 262         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 33.7       |
|    ep_rew_mean          | 57.3       |
| time/                   |            |
|    fps                  | 469        |
|    iterations           | 334        |
|    time_elapsed         | 1458       |
|    total_timesteps      | 1685504    |
| train/                  |            |
|    approx_kl            | 0.02193768 |
|    clip_fraction        | 0.154      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.523     |
|    explained_variance   | 0.301      |
|    learning_rate        | 0.0003     |
|    loss                 | 81.5       |
|    n_updates            | 8220       |
|    policy_gradient_loss | -0.025     |
|    value_loss           | 277        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.8        |
|    ep_rew_mean          | 64.5        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 335         |
|    time_elapsed         | 1462        |
|    total_timesteps      | 1687552     |
| train/                  |             |
|    approx_kl            | 0.015659943 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.538      |
|    explained_variance   | 0.356       |
|    learning_rate        | 0.0003      |
|    loss                 | 92.9        |
|    n_updates            | 8230        |
|    policy_gradient_loss | -0.0224     |
|    value_loss           | 279         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 34.6       |
|    ep_rew_mean          | 59.4       |
| time/                   |            |
|    fps                  | 469        |
|    iterations           | 336        |
|    time_elapsed         | 1467       |
|    total_timesteps      | 1689600    |
| train/                  |            |
|    approx_kl            | 0.01737638 |
|    clip_fraction        | 0.132      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.514     |
|    explained_variance   | 0.273      |
|    learning_rate        | 0.0003     |
|    loss                 | 118        |
|    n_updates            | 8240       |
|    policy_gradient_loss | -0.0231    |
|    value_loss           | 375        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.8        |
|    ep_rew_mean          | 56.6        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 337         |
|    time_elapsed         | 1471        |
|    total_timesteps      | 1691648     |
| train/                  |             |
|    approx_kl            | 0.026031613 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.537      |
|    explained_variance   | 0.226       |
|    learning_rate        | 0.0003      |
|    loss                 | 120         |
|    n_updates            | 8250        |
|    policy_gradient_loss | -0.0238     |
|    value_loss           | 238         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.7        |
|    ep_rew_mean          | 65.9        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 338         |
|    time_elapsed         | 1475        |
|    total_timesteps      | 1693696     |
| train/                  |             |
|    approx_kl            | 0.018935787 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.521      |
|    explained_variance   | 0.189       |
|    learning_rate        | 0.0003      |
|    loss                 | 132         |
|    n_updates            | 8260        |
|    policy_gradient_loss | -0.0221     |
|    value_loss           | 312         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.9        |
|    ep_rew_mean          | 69.3        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 339         |
|    time_elapsed         | 1480        |
|    total_timesteps      | 1695744     |
| train/                  |             |
|    approx_kl            | 0.021320097 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.518      |
|    explained_variance   | 0.253       |
|    learning_rate        | 0.0003      |
|    loss                 | 101         |
|    n_updates            | 8270        |
|    policy_gradient_loss | -0.0232     |
|    value_loss           | 264         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.6        |
|    ep_rew_mean          | 70          |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 340         |
|    time_elapsed         | 1484        |
|    total_timesteps      | 1697792     |
| train/                  |             |
|    approx_kl            | 0.024605695 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.528      |
|    explained_variance   | 0.218       |
|    learning_rate        | 0.0003      |
|    loss                 | 68.3        |
|    n_updates            | 8280        |
|    policy_gradient_loss | -0.0222     |
|    value_loss           | 216         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.9        |
|    ep_rew_mean          | 64.2        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 341         |
|    time_elapsed         | 1488        |
|    total_timesteps      | 1699840     |
| train/                  |             |
|    approx_kl            | 0.022750128 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.507      |
|    explained_variance   | 0.173       |
|    learning_rate        | 0.0003      |
|    loss                 | 148         |
|    n_updates            | 8290        |
|    policy_gradient_loss | -0.0234     |
|    value_loss           | 245         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 33.4       |
|    ep_rew_mean          | 59         |
| time/                   |            |
|    fps                  | 469        |
|    iterations           | 342        |
|    time_elapsed         | 1493       |
|    total_timesteps      | 1701888    |
| train/                  |            |
|    approx_kl            | 0.02064425 |
|    clip_fraction        | 0.138      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.526     |
|    explained_variance   | 0.118      |
|    learning_rate        | 0.0003     |
|    loss                 | 103        |
|    n_updates            | 8300       |
|    policy_gradient_loss | -0.0214    |
|    value_loss           | 287        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.4        |
|    ep_rew_mean          | 58.9        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 343         |
|    time_elapsed         | 1497        |
|    total_timesteps      | 1703936     |
| train/                  |             |
|    approx_kl            | 0.019440997 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.535      |
|    explained_variance   | 0.37        |
|    learning_rate        | 0.0003      |
|    loss                 | 104         |
|    n_updates            | 8310        |
|    policy_gradient_loss | -0.025      |
|    value_loss           | 264         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 34         |
|    ep_rew_mean          | 59.9       |
| time/                   |            |
|    fps                  | 469        |
|    iterations           | 344        |
|    time_elapsed         | 1501       |
|    total_timesteps      | 1705984    |
| train/                  |            |
|    approx_kl            | 0.02130001 |
|    clip_fraction        | 0.143      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.531     |
|    explained_variance   | 0.275      |
|    learning_rate        | 0.0003     |
|    loss                 | 88.4       |
|    n_updates            | 8320       |
|    policy_gradient_loss | -0.0223    |
|    value_loss           | 315        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.1        |
|    ep_rew_mean          | 57.1        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 345         |
|    time_elapsed         | 1506        |
|    total_timesteps      | 1708032     |
| train/                  |             |
|    approx_kl            | 0.019409642 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.514      |
|    explained_variance   | 0.286       |
|    learning_rate        | 0.0003      |
|    loss                 | 85.7        |
|    n_updates            | 8330        |
|    policy_gradient_loss | -0.0242     |
|    value_loss           | 303         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 32.5       |
|    ep_rew_mean          | 63.4       |
| time/                   |            |
|    fps                  | 469        |
|    iterations           | 346        |
|    time_elapsed         | 1510       |
|    total_timesteps      | 1710080    |
| train/                  |            |
|    approx_kl            | 0.02164376 |
|    clip_fraction        | 0.161      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.52      |
|    explained_variance   | 0.223      |
|    learning_rate        | 0.0003     |
|    loss                 | 97.6       |
|    n_updates            | 8340       |
|    policy_gradient_loss | -0.024     |
|    value_loss           | 257        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 31.9        |
|    ep_rew_mean          | 59.1        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 347         |
|    time_elapsed         | 1514        |
|    total_timesteps      | 1712128     |
| train/                  |             |
|    approx_kl            | 0.014498821 |
|    clip_fraction        | 0.135       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.517      |
|    explained_variance   | 0.283       |
|    learning_rate        | 0.0003      |
|    loss                 | 160         |
|    n_updates            | 8350        |
|    policy_gradient_loss | -0.0208     |
|    value_loss           | 278         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.4        |
|    ep_rew_mean          | 71.8        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 348         |
|    time_elapsed         | 1519        |
|    total_timesteps      | 1714176     |
| train/                  |             |
|    approx_kl            | 0.018980108 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.498      |
|    explained_variance   | 0.295       |
|    learning_rate        | 0.0003      |
|    loss                 | 137         |
|    n_updates            | 8360        |
|    policy_gradient_loss | -0.0231     |
|    value_loss           | 367         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 33.1        |
|    ep_rew_mean          | 61.8        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 349         |
|    time_elapsed         | 1523        |
|    total_timesteps      | 1716224     |
| train/                  |             |
|    approx_kl            | 0.019123841 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.49       |
|    explained_variance   | 0.171       |
|    learning_rate        | 0.0003      |
|    loss                 | 67.2        |
|    n_updates            | 8370        |
|    policy_gradient_loss | -0.0222     |
|    value_loss           | 235         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 32.1        |
|    ep_rew_mean          | 55.7        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 350         |
|    time_elapsed         | 1527        |
|    total_timesteps      | 1718272     |
| train/                  |             |
|    approx_kl            | 0.019427761 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.496      |
|    explained_variance   | 0.319       |
|    learning_rate        | 0.0003      |
|    loss                 | 92          |
|    n_updates            | 8380        |
|    policy_gradient_loss | -0.0225     |
|    value_loss           | 266         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.1        |
|    ep_rew_mean          | 64.8        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 351         |
|    time_elapsed         | 1532        |
|    total_timesteps      | 1720320     |
| train/                  |             |
|    approx_kl            | 0.017515883 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
